,positivo_score
melhor preço,0.00021501898420919695
incrível,0.00022412063447110366
estou muito satisfeito com,0.00022182297076168107
transação,0.00021268966664850618
qualidade entrega antes do,0.00021266742019299692
gostei chegou,0.00024950785748627745
chegou antes do tempo,0.0002121093160955568
entrega antes da data,0.00022174425152416
antes do prazo estou,0.0002250092158421872
parabéns pelo atendimento,0.0002114910085967103
entregue no prazo em,0.00020997974927690666
do prazo previsto produto,0.00020709294008734976
produto bem antes do,0.0002279070125958755
produto atendeu as expectativas,0.00022323798272993147
produto chegou em perfeito,0.000245466573543124
veio no prazo,0.00028495811466716203
foi antes do prazo,0.00025535334677824603
entrega muito antes do,0.00020550716418469574
tudo maravilhoso,0.00020546192539946855
linda cortina,0.00020485589234589348
produto entrega super rápida,0.00020473909788935212
plenamente,0.00020454844385221145
tudo conforme previsto,0.00020424004648802915
muito confortável,0.00020340784881820782
kyjk,0.00020329335230737954
funciona perfeitamente,0.0002242923706214779
antes do prazo prometido,0.00020269593951430416
prática,0.00025540370541288817
muito satisfeito com compra,0.00020148007537787124
nota dez,0.0002009376219401458
antes do prazo que,0.00020041419693857493
confortavel,0.00024254625615470566
produto foi entregue bem,0.00020937432333602394
preço qualidade,0.0001995092307162663
produto chegou perfeito,0.0001990118493409532
recebi muito antes do,0.00019800206236110903
do prazo previsto recomendo,0.00019782983444052629
dentro do prazo tudo,0.00019731003029528524
mercadoria entregue,0.00023117445546797497
recebi produto bem antes,0.00022655747919133015
delicado,0.00022293189750522321
praticidade,0.00021027443964873413
antes do prazo obrigado,0.00019334985026649078
muito rápido produto,0.00019327473667955227
foi entregue muito antes,0.00019312071146990092
entrega ok,0.00023786685273301895
antes do tempo previsto,0.00019181898453970284
antes do prazo esperado,0.00019177610645513277
de qualidade muito bom,0.0001907612744273449
entregue no prazo recomendo,0.00019066726991334346
perfeitos,0.0002328000727132147
linda amei,0.00018929768235826709
de boa qualidade recomendo,0.0002110725737155345
produto excelente recomendo,0.0001889518480125204
entregue antes do previsto,0.00019716897302679215
produto conforme descrição,0.00021822394401660954
atendeu minha expectativa,0.00018713668652072814
dentro do prazo muito,0.00018704587208709855
ate antes do prazo,0.00018689688269593689
no prazo em perfeitas,0.00019594390300742233
produto muito lindo,0.0001866202302399686
entrega super rápida recomendo,0.0001863832017134514
antes do previsto muito,0.000197427083994881
tudo como esperado,0.00018586390068235395
meu filho adorou,0.000185857667279792
entrega foi feita antes,0.00019263819758301413
profissionais,0.00018501214562074205
ótimo site,0.00020833015123283366
tudo dentro do esperado,0.00020885240153191344
foi bem antes do,0.000196602351116494
com agilidade,0.00019296298407986607
tudo certo produto,0.0002151587953686811
compra fácil,0.0001836518617820368
sem defeitos,0.0001835635369803453
entrega feita antes do,0.00018356275285528334
bom ótimo,0.00018353492304921823
bom recebi antes do,0.00018318532218094215
entrega no prazo recomendo,0.00018226594034944133
amei muito,0.0002003114059012171
produto de qualidade entregue,0.000181668890754688
ótimo produto entregue antes,0.00018164662606131153
bom chegou no prazo,0.00019838393720168597
eu super recomendo,0.00018118744106454686
foi feita antes do,0.00018749925962239865
produto show,0.0001801516070889964
amei meu produto,0.00017947392356069028
entrega realizada antes do,0.0001789127097208431
vou continuar comprando,0.0001870691400669061
excelente muito,0.0001938303167242634
no prazo produto muito,0.00017840071758383873
de boa qualidade chegou,0.0001777121525034226
antes do prazo marcado,0.000177700972408851
antes do prazo dado,0.00017738824979665095
gostei muito de comprar,0.0001875326331061297
amei super recomendo,0.00017648804169145447
produto entregue conforme anunciado,0.00017638294986653462
recebi certinho,0.00017549902874377328
mochila linda,0.0001740302040312077
pontuais,0.0001739194245034007
cliente satisfeito,0.00017355421035909478
foi entregue antes da,0.00018533906651918157
no prazo muito bom,0.00017335762422579571
muito bom parabéns,0.00017335061597241534
um ótimo produto,0.00020953023907945828
muito muito,0.00018151216696810912
de muito boa qualidade,0.00017264590473989352
